Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 06/12/2024 00:00:00 EDT Put $540.00,SPY240612P00540000,Buy,Filled,1,1,@1.32,1.32,DAY,06/12/2024 09:30:56 EDT,06/12/2024 09:30:56 EDT
SPY 06/11/2024 00:00:00 EDT Put $535.00,SPY240611P00535000,Sell,Filled,1,1,1.21,1.21,DAY,06/11/2024 13:24:24 EDT,06/11/2024 13:24:24 EDT
SPY 06/11/2024 00:00:00 EDT Put $535.00,SPY240611P00535000,Buy,Filled,1,1,@1.15,1.15,DAY,06/11/2024 13:22:29 EDT,06/11/2024 13:22:31 EDT
AAPL 06/14/2024 00:00:00 EDT Call $205.00,AAPL240614C00205000,Sell,Filled,1,1,@2.24,2.24,DAY,06/11/2024 12:21:27 EDT,06/11/2024 12:21:28 EDT
AAPL 06/14/2024 00:00:00 EDT Call $205.00,AAPL240614C00205000,Buy,Filled,1,1,@2.15,2.15,DAY,06/11/2024 12:13:32 EDT,06/11/2024 12:13:32 EDT
SPY 06/11/2024 00:00:00 EDT Put $535.00,SPY240611P00535000,Sell,Filled,1,1,@1.32,1.32,DAY,06/11/2024 11:14:05 EDT,06/11/2024 11:14:05 EDT
SPY 06/11/2024 00:00:00 EDT Put $535.00,SPY240611P00535000,Buy,Filled,1,1,@1.26,1.26,DAY,06/11/2024 11:05:53 EDT,06/11/2024 11:05:53 EDT
SPY 06/11/2024 00:00:00 EDT Call $533.00,SPY240611C00533000,Sell,Filled,1,1,0.980,0.980,DAY,06/11/2024 09:59:35 EDT,06/11/2024 09:59:35 EDT
SPY 06/11/2024 00:00:00 EDT Call $533.00,SPY240611C00533000,Sell,Filled,1,1,0.940,0.940,DAY,06/11/2024 09:52:04 EDT,06/11/2024 09:52:04 EDT
SPY 06/11/2024 00:00:00 EDT Call $533.00,SPY240611C00533000,Buy,Filled,2,2,@0.860,0.860,DAY,06/11/2024 09:51:40 EDT,06/11/2024 09:51:40 EDT
SPY 06/10/2024 00:00:00 EDT Call $535.00,SPY240610C00535000,Sell,Filled,1,1,0.760,0.760,DAY,06/10/2024 15:20:39 EDT,06/10/2024 15:20:39 EDT
SPY 06/10/2024 00:00:00 EDT Call $535.00,SPY240610C00535000,Buy,Filled,1,1,@0.690,0.690,DAY,06/10/2024 15:18:40 EDT,06/10/2024 15:18:40 EDT
SPY 06/10/2024 00:00:00 EDT Put $535.00,SPY240610P00535000,Sell,Filled,1,1,0.990,0.990,DAY,06/10/2024 13:13:48 EDT,06/10/2024 13:13:49 EDT
SPY 06/10/2024 00:00:00 EDT Put $535.00,SPY240610P00535000,Buy,Filled,1,1,@0.920,0.920,DAY,06/10/2024 11:59:13 EDT,06/10/2024 11:59:13 EDT
SPY 06/12/2024 00:00:00 EDT Call $537.00,SPY240612C00537000,Sell,Filled,1,1,@1.59,1.59,DAY,06/10/2024 10:32:30 EDT,06/10/2024 10:34:44 EDT
SPY 06/12/2024 00:00:00 EDT Call $537.00,SPY240612C00537000,Buy,Filled,1,1,@1.55,1.55,DAY,06/10/2024 10:02:25 EDT,06/10/2024 10:02:25 EDT
